time,available_stores
2026-02-08 18:16:10-05:00,4202571
2026-02-08 18:16:20-05:00,4203869
2026-02-08 18:16:30-05:00,4208454
2026-02-08 18:16:40-05:00,4211775
2026-02-08 18:16:50-05:00,4214998
2026-02-08 18:17:00-05:00,4217063
2026-02-08 18:17:10-05:00,4218724
2026-02-08 18:17:20-05:00,4221360
2026-02-08 18:17:30-05:00,4222842
2026-02-08 18:17:40-05:00,4218310
2026-02-08 18:17:50-05:00,4211386
2026-02-08 18:18:00-05:00,4207717
2026-02-08 18:18:10-05:00,4206086
2026-02-08 18:18:20-05:00,4209270
2026-02-08 18:18:30-05:00,4201847
2026-02-08 18:18:40-05:00,4196159
2026-02-08 18:18:50-05:00,4198103
2026-02-08 18:19:00-05:00,4200089
2026-02-08 18:19:10-05:00,4208260
2026-02-08 18:19:20-05:00,4209986
2026-02-08 18:19:30-05:00,4216841
2026-02-08 18:19:40-05:00,4222403
2026-02-08 18:19:50-05:00,4224354
2026-02-08 18:20:00-05:00,4227174
2026-02-08 18:20:10-05:00,4230175
2026-02-08 18:20:20-05:00,4232485
2026-02-08 18:20:30-05:00,4237145
2026-02-08 18:20:40-05:00,4235200
2026-02-08 18:20:50-05:00,4232077
2026-02-08 18:21:00-05:00,4223480
2026-02-08 18:21:10-05:00,4213565
2026-02-08 18:21:20-05:00,4210216
2026-02-08 18:21:30-05:00,4216475
2026-02-08 18:21:40-05:00,4215717
2026-02-08 18:21:50-05:00,4212080
2026-02-08 18:22:00-05:00,4211719
2026-02-08 18:22:10-05:00,4212005
2026-02-08 18:22:20-05:00,4223966
2026-02-08 18:22:30-05:00,4226370
2026-02-08 18:22:40-05:00,4228755
2026-02-08 18:22:50-05:00,4230288
2026-02-08 18:23:00-05:00,4232303
2026-02-08 18:23:10-05:00,4232034
2026-02-08 18:23:20-05:00,4222664
2026-02-08 18:23:30-05:00,4225520
2026-02-08 18:23:40-05:00,4221486
2026-02-08 18:23:50-05:00,4218817
2026-02-08 18:24:00-05:00,4217256
2026-02-08 18:24:10-05:00,4215530
2026-02-08 18:24:20-05:00,4217120
2026-02-08 18:24:30-05:00,4216763
2026-02-08 18:24:40-05:00,4217426
2026-02-08 18:24:50-05:00,4228410
2026-02-08 18:25:00-05:00,4231821
2026-02-08 18:25:10-05:00,4239698
2026-02-08 18:25:20-05:00,4244005
2026-02-08 18:25:30-05:00,4247715
2026-02-08 18:25:40-05:00,4253047
2026-02-08 18:25:50-05:00,4254991
2026-02-08 18:26:00-05:00,4257760
2026-02-08 18:26:10-05:00,4265170
2026-02-08 18:26:20-05:00,4266407
2026-02-08 18:26:30-05:00,4256724
2026-02-08 18:26:40-05:00,4254825
2026-02-08 18:26:50-05:00,4257063
2026-02-08 18:27:00-05:00,4268066
2026-02-08 18:27:10-05:00,4271296
2026-02-08 18:27:20-05:00,4261763
2026-02-08 18:27:30-05:00,4261470
2026-02-08 18:27:40-05:00,4262050
2026-02-08 18:27:50-05:00,4262586
2026-02-08 18:28:00-05:00,4263287
2026-02-08 18:28:10-05:00,4254135
2026-02-08 18:28:20-05:00,4238179
2026-02-08 18:28:30-05:00,4209905
2026-02-08 18:28:40-05:00,4185515
2026-02-08 18:28:50-05:00,4139059
2026-02-08 18:29:00-05:00,4097837
2026-02-08 18:29:10-05:00,4049806
2026-02-08 18:29:20-05:00,4004115
2026-02-08 18:29:30-05:00,3961679
2026-02-08 18:29:40-05:00,3918937
2026-02-08 18:29:50-05:00,3897405
2026-02-08 18:30:00-05:00,3889942
2026-02-08 18:30:10-05:00,3876970
2026-02-08 18:30:20-05:00,3872999
2026-02-08 18:30:30-05:00,3868330
2026-02-08 18:30:40-05:00,3858802
2026-02-08 18:30:50-05:00,3852055
2026-02-08 18:31:00-05:00,3849356
2026-02-08 18:31:10-05:00,3837701
2026-02-08 18:31:20-05:00,3827982
2026-02-08 18:31:30-05:00,3731285
2026-02-08 18:31:40-05:00,3603911
2026-02-08 18:31:50-05:00,3495095
2026-02-08 18:32:00-05:00,3360972
2026-02-08 18:32:10-05:00,3231458
2026-02-08 18:32:20-05:00,3116669
2026-02-08 18:32:30-05:00,2988616
2026-02-08 18:32:40-05:00,2878146
2026-02-08 18:32:50-05:00,2810853
2026-02-08 18:33:00-05:00,2752292
2026-02-08 18:33:10-05:00,2706486
2026-02-08 18:33:20-05:00,2677108
2026-02-08 18:33:30-05:00,2649508
2026-02-08 18:33:40-05:00,2613891
2026-02-08 18:33:50-05:00,2617305
2026-02-08 18:34:00-05:00,2607875
2026-02-08 18:34:10-05:00,2602476
2026-02-08 18:34:20-05:00,2605571
2026-02-08 18:34:30-05:00,2597645
2026-02-08 18:34:40-05:00,2580935
2026-02-08 18:34:50-05:00,2552060
2026-02-08 18:35:00-05:00,2506244
2026-02-08 18:35:10-05:00,2462456
2026-02-08 18:35:20-05:00,2422975
2026-02-08 18:35:30-05:00,2366444
2026-02-08 18:35:40-05:00,2344741
2026-02-08 18:35:50-05:00,2323717
2026-02-08 18:36:00-05:00,2302417
2026-02-08 18:36:10-05:00,2294375
2026-02-08 18:36:20-05:00,2277694
2026-02-08 18:36:30-05:00,2347820
2026-02-08 18:36:40-05:00,2448243
2026-02-08 18:36:50-05:00,2539148
2026-02-08 18:37:00-05:00,2649988
2026-02-08 18:37:10-05:00,2758290
2026-02-08 18:37:20-05:00,2859591
2026-02-08 18:37:30-05:00,2972874
2026-02-08 18:37:40-05:00,3065381
2026-02-08 18:37:50-05:00,3114796
2026-02-08 18:38:00-05:00,3158486
2026-02-08 18:38:10-05:00,3194133
2026-02-08 18:38:20-05:00,3229286
2026-02-08 18:38:30-05:00,3271031
2026-02-08 18:38:40-05:00,3319369
2026-02-08 18:38:50-05:00,3351433
2026-02-08 18:39:00-05:00,3390736
2026-02-08 18:39:10-05:00,3426355
2026-02-08 18:39:20-05:00,3454859
2026-02-08 18:39:30-05:00,3497144
2026-02-08 18:39:40-05:00,3544768
2026-02-08 18:39:50-05:00,3574399
2026-02-08 18:40:00-05:00,3615352
2026-02-08 18:40:10-05:00,3657222
2026-02-08 18:40:20-05:00,3689684
2026-02-08 18:40:30-05:00,3739137
2026-02-08 18:40:40-05:00,3754154
2026-02-08 18:40:50-05:00,3770127
2026-02-08 18:41:00-05:00,3781053
2026-02-08 18:41:10-05:00,3784333
2026-02-08 18:41:20-05:00,3797878
2026-02-08 18:41:30-05:00,3812817
2026-02-08 18:41:40-05:00,3827671
2026-02-08 18:41:50-05:00,3841198
2026-02-08 18:42:00-05:00,3844171
2026-02-08 18:42:10-05:00,3854149
2026-02-08 18:42:20-05:00,3858456
2026-02-08 18:42:30-05:00,3861694
2026-02-08 18:42:40-05:00,3867463
2026-02-08 18:42:50-05:00,3874112
2026-02-08 18:43:00-05:00,3878977
2026-02-08 18:43:10-05:00,3886806
2026-02-08 18:43:20-05:00,3890388
2026-02-08 18:43:30-05:00,3898688
2026-02-08 18:43:40-05:00,3907079
2026-02-08 18:43:50-05:00,3912152
2026-02-08 18:44:00-05:00,3918439
2026-02-08 18:44:10-05:00,3923714
2026-02-08 18:44:20-05:00,3924368
2026-02-08 18:44:30-05:00,3918070
2026-02-08 18:44:40-05:00,3909960
2026-02-08 18:44:50-05:00,3905735
2026-02-08 18:45:00-05:00,3898684
2026-02-08 18:45:10-05:00,3885785
2026-02-08 18:45:20-05:00,3878883
2026-02-08 18:45:30-05:00,3882557
2026-02-08 18:45:40-05:00,3881246
2026-02-08 18:45:50-05:00,3895967
2026-02-08 18:46:00-05:00,3897331
2026-02-08 18:46:10-05:00,3896221
2026-02-08 18:46:20-05:00,3894196
2026-02-08 18:46:30-05:00,3888891
2026-02-08 18:46:40-05:00,3886383
2026-02-08 18:46:50-05:00,3877453
2026-02-08 18:47:00-05:00,3879778
2026-02-08 18:47:10-05:00,3873657
2026-02-08 18:47:20-05:00,3868299
2026-02-08 18:47:30-05:00,3863256
2026-02-08 18:47:40-05:00,3856116
2026-02-08 18:47:50-05:00,3852421
2026-02-08 18:48:00-05:00,3848333
2026-02-08 18:48:10-05:00,3846897
2026-02-08 18:48:20-05:00,3844878
2026-02-08 18:48:30-05:00,3839460
2026-02-08 18:48:40-05:00,3830775
2026-02-08 18:48:50-05:00,3826955
2026-02-08 18:49:00-05:00,3827539
2026-02-08 18:49:10-05:00,3824573
2026-02-08 18:49:20-05:00,3826721
2026-02-08 18:49:30-05:00,3825662
2026-02-08 18:49:40-05:00,3829797
2026-02-08 18:49:50-05:00,3829406
2026-02-08 18:50:00-05:00,3827135
2026-02-08 18:50:10-05:00,3834866
2026-02-08 18:50:20-05:00,3835500
2026-02-08 18:50:30-05:00,3822581
2026-02-08 18:50:40-05:00,3814812
2026-02-08 18:50:50-05:00,3793949
2026-02-08 18:51:00-05:00,3791094
